zipcode,population
ZCTA 01772,9370
ZCTA 01773,5112
ZCTA 01775,6590
ZCTA 01776,17659
ZCTA 01778,13109
ZCTA 01801,38903
ZCTA 01803,24487
ZCTA 01810,33201
ZCTA 01821,30310
ZCTA 01824,24911
ZCTA 01826,29422
ZCTA 01827,3179
ZCTA 01830,25137
ZCTA 01832,22060
ZCTA 01833,8183
ZCTA 01834,6459
ZCTA 01835,13682
ZCTA 01840,4733
ZCTA 01841,47225
ZCTA 01843,24425
ZCTA 01844,47249
ZCTA 01845,28352
ZCTA 01850,15237
ZCTA 01851,30190
ZCTA 01852,33508
ZCTA 01854,27606
ZCTA 01860,6338
ZCTA 01862,10227
ZCTA 01863,8891
ZCTA 01864,14892
ZCTA 01867,23956
ZCTA 01876,28667
ZCTA 01879,11305
ZCTA 01880,24733
ZCTA 01886,21951
ZCTA 01887,22325
ZCTA 01890,21382
ZCTA 01901,1689
ZCTA 01902,45139
ZCTA 01904,18203
ZCTA 01905,25251
ZCTA 01906,26660
ZCTA 01907,14027
ZCTA 01908,3410
ZCTA 01913,16283
ZCTA 01915,39502
ZCTA 01921,7961
ZCTA 01922,3108
ZCTA 01923,26342
ZCTA 01929,3504
ZCTA 01930,28789
ZCTA 01937,151
ZCTA 01938,13175
ZCTA 01940,12108
ZCTA 01944,5136
ZCTA 01945,19808
ZCTA 01949,8987
ZCTA 01950,17416
ZCTA 01951,3558
ZCTA 01952,8283
ZCTA 01960,50944
ZCTA 01966,6952
ZCTA 01969,5856
ZCTA 01970,41109
ZCTA 01982,7764
ZCTA 01983,6089
ZCTA 01984,4875
ZCTA 01985,4235
ZCTA 02019,16332
ZCTA 02021,21561
ZCTA 02025,7542
ZCTA 02026,24711
ZCTA 02030,5589
ZCTA 02032,4226
ZCTA 02035,16865
ZCTA 02038,31635
ZCTA 02043,22157
ZCTA 02045,10293
ZCTA 02047,180
ZCTA 02048,23184
ZCTA 02050,25429
ZCTA 02052,12024
ZCTA 02053,12752
ZCTA 02054,7891
ZCTA 02056,10981
ZCTA 02061,10506
ZCTA 02062,28602
ZCTA 02066,17656
ZCTA 02067,17486
ZCTA 02071,1707
ZCTA 02072,26999
ZCTA 02081,18472
ZCTA 02090,14636
ZCTA 02093,10955
ZCTA 02108,3825
ZCTA 02109,3771
ZCTA 02110,1733
ZCTA 02111,7383
ZCTA 02113,6915
ZCTA 02114,11999
ZCTA 02115,28441
ZCTA 02116,20628
ZCTA 02118,26498
ZCTA 02119,25346
ZCTA 02120,15181
ZCTA 02121,25978
ZCTA 02122,23479
ZCTA 02124,47783
ZCTA 02125,33295
ZCTA 02126,25562
ZCTA 02127,31799
ZCTA 02128,40508
ZCTA 02129,16439
ZCTA 02130,35401
ZCTA 02131,29826
ZCTA 02132,25861
ZCTA 02134,21503
ZCTA 02135,42780
ZCTA 02136,28488
ZCTA 02138,36314
ZCTA 02139,36349
ZCTA 02140,17607
ZCTA 02141,11910
ZCTA 02142,3141
ZCTA 02143,24514
ZCTA 02144,23891
ZCTA 02145,25439
ZCTA 02148,59503
ZCTA 02149,41550
ZCTA 02150,35124
ZCTA 02151,51808
ZCTA 02152,17497
ZCTA 02155,57964
ZCTA 02163,2582
ZCTA 02169,55055
ZCTA 02170,19505
ZCTA 02171,17711
ZCTA 02176,26983
ZCTA 02180,21437
ZCTA 02184,35744
ZCTA 02186,27003
ZCTA 02188,14608
ZCTA 02189,14559
ZCTA 02190,16119
ZCTA 02191,8457
ZCTA 02199,1146
ZCTA 02203,0
ZCTA 02210,2090
ZCTA 02215,26125
ZCTA 02301,61025
ZCTA 02302,32741
ZCTA 02322,4356
ZCTA 02324,26563
ZCTA 02330,11509
ZCTA 02332,15059
ZCTA 02333,13794
ZCTA 02338,7518
ZCTA 02339,13879
ZCTA 02341,10218
ZCTA 02343,10745
ZCTA 02346,23106
ZCTA 02347,10612
ZCTA 02351,16029
ZCTA 02356,12564
ZCTA 02357,1360
ZCTA 02359,17828
ZCTA 02360,56271
ZCTA 02364,12629
ZCTA 02366,197
ZCTA 02367,2820
ZCTA 02368,32158
ZCTA 02370,17489
ZCTA 02375,9188
ZCTA 02379,6916
ZCTA 02382,14489
ZCTA 02420,14052
ZCTA 02421,17342
ZCTA 02445,20679
ZCTA 02446,29311
ZCTA 02451,17426
ZCTA 02452,14238
ZCTA 02453,28968
ZCTA 02457,1432
ZCTA 02458,12131
ZCTA 02459,19095
ZCTA 02460,8742
ZCTA 02461,7059
ZCTA 02462,1554
ZCTA 02464,2953
ZCTA 02465,11710
ZCTA 02466,8096
ZCTA 02467,22491
ZCTA 02468,5273
ZCTA 02472,32014
ZCTA 02474,26312
ZCTA 02476,16532
ZCTA 02478,24664
ZCTA 02481,16244
ZCTA 02482,10306
ZCTA 02492,19931
ZCTA 02493,11261
ZCTA 02494,8955
ZCTA 02532,12690
ZCTA 02534,842
ZCTA 02535,1177
ZCTA 02536,19583
ZCTA 02537,6293
ZCTA 02538,3603
ZCTA 02539,4067
ZCTA 02540,8221
ZCTA 02542,1139
ZCTA 02543,635
ZCTA 02553,226
ZCTA 02554,9852
ZCTA 02556,3115
ZCTA 02557,4491
ZCTA 02558,2156
ZCTA 02559,3376
ZCTA 02561,539
ZCTA 02562,2977
ZCTA 02563,10359
ZCTA 02564,310
ZCTA 02568,4000
ZCTA 02571,10481
ZCTA 02575,2725
ZCTA 02576,3754
ZCTA 02584,10
ZCTA 02601,14089
ZCTA 02630,1850
ZCTA 02631,9679
ZCTA 02632,10742
ZCTA 02633,3884
ZCTA 02635,3296
ZCTA 02637,253
ZCTA 02638,3207
